,correct_response,word,condition_in,EC
0,,lumière,light,0.0
1,,ensoleillement,light,0.49
2,,lumineux,light,0.0
3,,luminosité,light,0.38
4,,éclatant,light,0.48
5,,éclairé,light,0.49
6,,éclaircie,light,0.48
7,,éclairer,light,0.51
8,,étincellement,light,0.32
9,,éclaircissement,light,0.0
10,,brillant,light,0.23
11,,brillance,light,0.34
12,,briller,light,0.0
13,,illuminé,light,0.0
14,,illuminer,light,0.0
15,,illumination,light,0.0
16,,illuminant,light,0.0
17,,scintillant,light,0.0
18,,scintillement,light,0.32
19,,scintiller,light,0.42
20,,blanc,light,0.0
21,,blanchi,light,0.0
22,,blanchir,light,0.0
23,,blanchiment,light,0.0
24,,blanchissement,light,0.0
25,,jour,light,0.0
26,,luisant,light,0.0
27,,luire,light,0.0
28,,ensoleillé,light,0.42
29,,ensoleiller,light,0.0
30,,ébloui,light,0.0
31,,éblouissant,light,0.0
32,,éblouir,light,0.0
33,,étincelant,light,0.3
34,,étinceler,light,0.42
35,,ténèbres,dark,-0.25
36,,enténébrer,dark,0.0
37,,ténébreux,dark,0.0
38,,sombre,dark,-0.03
39,,assombrir,dark,0.0
40,,assombrissement,dark,0.0
41,,noir,dark,0.0
42,,noirceur,dark,0.0
43,,noirci,dark,0.0
44,,noircir,dark,0.0
45,,nuit,dark,0.0
46,,obscur,dark,-0.25
47,,obscurcissement,dark,0.0
48,,obscurité,dark,-0.13
49,,obscurcir,dark,0.0
50,,ombre,dark,0.0
51,,ombré,dark,0.0
52,,ombragé,dark,0.0
53,,ombrager,dark,0.0
54,,ombrage,dark,0.0
55,,ombrant,dark,0.0
56,,foncé,dark,-0.15
57,,pénombre,dark,0.0
58,,opacité,dark,0.0
59,,opaque,dark,0.0
60,,opacifier,dark,0.0
61,,terne,dark,0.0
62,,terni,dark,0.0
63,,ternir,dark,0.0
64,,brumeux,dark,0.0
65,,trouble,dark,-0.46
66,,insalubre,ctrl,0.0
67,,nuageux,dark,0.0
68,,ennuager,dark,0.0
69,,abandonner,ctrl,-0.44
70,,térébrant,ctrl,0.0
71,,abstenir,ctrl,0.0
72,,fracasser,ctrl,0.0
73,,justifier,ctrl,0.08
74,,permettre,ctrl,0.0
75,,renforcer,ctrl,0.32
76,,décider,ctrl,0.0
77,,cacher,ctrl,-0.18
78,,assistant,ctrl,0.34
79,,auberge,ctrl,0.0
80,,conséquence,ctrl,0.0
81,,dessin,ctrl,0.0
82,,nourriture,ctrl,0.0
83,,mère,ctrl,0.0
84,,personnel,ctrl,0.0
85,,peuple,ctrl,0.0
86,,photographe,ctrl,0.0
87,,satisfaction,ctrl,0.2
88,,témoin,ctrl,0.0
89,,sésame,ctrl,0.0
90,,absent,ctrl,-0.27
91,,artistique,ctrl,0.0
92,,blond,ctrl,0.0
93,,charmant,ctrl,0.59
94,,contraire,ctrl,0.0
95,,familier,ctrl,0.0
96,,généreux,ctrl,0.51
97,,honnête,ctrl,0.46
98,,mondial,ctrl,0.0
99,,simulé,ctrl,0.0
100,,opposé,ctrl,0.0
101,,paisible,ctrl,0.49
102,,scandaleux,ctrl,-0.25
103,,sentimental,ctrl,0.32
104,space,antilope,animal,0.0
105,space,baleine,animal,0.0
106,space,castor,animal,0.0
107,space,chameau,animal,0.0
108,space,chat,animal,0.0
109,space,chimpanzé,animal,0.0
110,space,gorille,animal,0.0
111,space,girafe,animal,0.0
112,space,hippopotame,animal,0.0
113,space,loup,animal,0.0
114,space,lapin,animal,0.0
115,space,marmotte,animal,0.0
116,space,ours,animal,0.0
117,space,otarie,animal,0.0
118,space,rat,animal,0.0
119,space,renard,animal,0.0
120,space,singe,animal,-0.32
121,space,souris,animal,0.36
122,space,tigre,animal,0.0
123,space,vache,animal,0.0
