,count,mean,std,min,25%,50%,75%,max
vivid_dreams,50.0,4.86,1.85,0.0,3.0,5.5,6.0,7.0
vivid_stories,50.0,4.88,1.41,1.0,4.0,5.0,6.0,7.0
freq_invol,50.0,4.04,1.78,1.0,3.0,4.0,6.0,7.0
freq_vol,50.0,5.84,0.98,3.0,5.0,6.0,7.0,7.0
QMI_total,50.0,5.14,0.88,2.23,4.57,5.16,5.66,6.91
QMI_visual,50.0,5.33,1.0,2.4,4.85,5.4,6.0,7.0
QMI_audio,50.0,5.07,1.1,2.2,4.4,5.3,5.6,7.0
QMI_touch,50.0,5.27,1.14,1.4,4.8,5.2,6.15,7.0
QMI_motor,50.0,5.38,1.1,2.4,4.65,5.4,6.35,7.0
QMI_taste,50.0,4.96,1.43,1.2,4.25,5.1,6.0,7.0
QMI_smell,50.0,4.34,1.22,1.2,3.6,4.1,5.2,7.0
QMI_feeling,50.0,5.63,1.01,2.6,5.2,5.6,6.4,7.0
vivid_invol,50.0,4.87,1.31,2.0,4.0,5.0,6.0,7.0
