correct_response,word,condition_in
None,lumière,light
None,ensoleillement,light
None,lumineux,light
None,luminosité,light
None,éclatant,light
None,éclairé,light
None,éclaircie,light
None,éclairer,light
None,étincellement,light
None,éclaircissement,light
None,brillant,light
None,brillance,light
None,briller,light
None,illuminé,light
None,illuminer,light
None,illumination,light
None,illuminant,light
None,scintillant,light
None,scintillement,light
None,scintiller,light
None,blanc,light
None,blanchi,light
None,blanchir,light
None,blanchiment,light
None,blanchissement,light
None,jour,light
None,luisant,light
None,luire,light
None,ensoleillé,light
None,ensoleiller,light
None,ébloui,light
None,éblouissant,light
None,éblouir,light
None,étincelant,light
None,étinceler,light
None,ténèbres,dark
None,enténébrer,dark
None,ténébreux,dark
None,sombre,dark
None,assombrir,dark
None,assombrissement,dark
None,noir,dark
None,noirceur,dark
None,noirci,dark
None,noircir,dark
None,nuit,dark
None,obscur,dark
None,obscurcissement,dark
None,obscurité,dark
None,obscurcir,dark
None,ombre,dark
None,ombré,dark
None,ombragé,dark
None,ombrager,dark
None,ombrage,dark
None,ombrant,dark
None,foncé,dark
None,pénombre,dark
None,opacité,dark
None,opaque,dark
None,opacifier,dark
None,terne,dark
None,terni,dark
None,ternir,dark
None,brumeux,dark
None,trouble,dark
None,insalubre,ctrl
None,nuageux,dark
None,ennuager,dark
None,abandonner,ctrl
None,térébrant,ctrl
None,abstenir,ctrl
None,fracasser,ctrl
None,justifier,ctrl
None,permettre,ctrl
None,renforcer,ctrl
None,décider,ctrl
None,cacher,ctrl
None,assistant,ctrl
None,auberge,ctrl
None,conséquence,ctrl
None,dessin,ctrl
None,nourriture,ctrl
None,mère,ctrl
None,personnel,ctrl
None,peuple,ctrl
None,photographe,ctrl
None,satisfaction,ctrl
None,témoin,ctrl
None,sésame,ctrl
None,absent,ctrl
None,artistique,ctrl
None,blond,ctrl
None,charmant,ctrl
None,contraire,ctrl
None,familier,ctrl
None,généreux,ctrl
None,honnête,ctrl
None,mondial,ctrl
None,simulé,ctrl
None,opposé,ctrl
None,paisible,ctrl
None,scandaleux,ctrl
None,sentimental,ctrl
space,antilope,animal
space,baleine,animal
space,castor,animal
space,chameau,animal
space,chat,animal
space,chimpanzé,animal
space,gorille,animal
space,girafe,animal
space,hippopotame,animal
space,loup,animal
space,lapin,animal
space,marmotte,animal
space,ours,animal
space,otarie,animal
space,rat,animal
space,renard,animal
space,singe,animal
space,souris,animal
space,tigre,animal
space,vache,animal
